County,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bibb,601.024,600.908,600.792,600.676,600.56,600.444,600.328,600.212,600.096,599.98,599.868,601.436,603.004,604.572,606.14,607.708,609.276,610.844,612.412,613.98,615.548,616.32,617.092,617.864,618.64,619.412,620.184,620.96,621.732,622.504,623.28,624.864,626.66,620.284,617.688,616.228,612.82,611.448
Bleckley,49.61751152,49.46082949,49.30414747,49.14746544,48.99539171,48.83870968,48.68202765,48.52995392,48.37327189,48.21658986,48.06451613,48.63133641,49.20276498,49.76958525,50.34101382,50.9124424,51.47926267,52.05069124,52.61751152,53.18894009,53.76036866,54.38709677,55.01843318,55.64976959,56.2764977,56.9078341,57.53917051,58.16589862,58.79723502,59.42857143,60.05990783,60.2764977,59.39170507,58.70967742,58.58064516,58.60368664,59.43778802,59.12442396
Brantley,19.59684685,20.13063063,20.66666667,21.20045045,21.73648649,22.27252252,22.80630631,23.34234234,23.87612613,24.41216216,24.9481982,25.74774775,26.5472973,27.34684685,28.1463964,28.9481982,29.74774775,30.5472973,31.34684685,32.1463964,32.9481982,33.81081081,34.67342342,35.53603604,36.39864865,37.26351351,38.12612613,38.98873874,39.85135135,40.71396396,41.57882883,41.75675676,41.68693694,41.07432432,41.29954955,41.42567568,41.34009009,42.18693694
Brooks,30.8805668,30.90890688,30.93724696,30.96558704,30.99595142,31.0242915,31.05263158,31.08299595,31.11133603,31.13967611,31.17004049,31.38259109,31.5951417,31.80769231,32.02024291,32.23481781,32.44736842,32.65991903,32.87246964,33.08502024,33.29959514,33.25910931,33.22064777,33.18016194,33.1417004,33.10121457,33.06275304,33.02226721,32.98380567,32.94331984,32.9048583,32.37651822,31.6417004,31.71052632,31.44534413,31.71659919,31.76720648,31.55263158
Bryan,23.02036199,24.21040724,25.40045249,26.59049774,27.78280543,28.97285068,30.16289593,31.35520362,32.54524887,33.73529412,34.92760181,36.73076923,38.5361991,40.34162896,42.14705882,43.95248869,45.75791855,47.56334842,49.36877828,51.17420814,52.97963801,54.5520362,56.12669683,57.70135747,59.2760181,60.85067873,62.42533937,64,65.57466063,67.14932127,68.7239819,70.74886878,72.98190045,74.74660633,76.19457014,78.72850679,81.09049774,83.84615385
Bulloch,52.39385066,53.46852123,54.5431918,55.61786237,56.69253294,57.76720351,58.84187408,59.91654466,60.99121523,62.0658858,63.14055637,65.02196193,66.90483163,68.78770132,70.67057101,72.5534407,74.43484627,76.31771596,78.20058565,80.08345534,81.96632504,84.10102489,86.23718887,88.37335286,90.50951684,92.64568082,94.78038067,96.91654466,99.05270864,101.1888726,103.3250366,106.4231332,107.1259151,105.2313324,106.4919473,107.2225476,109.4011713,111.4919473
Burke,23.28399519,23.43200963,23.58002407,23.72803851,23.87605295,24.02406739,24.17208183,24.32009627,24.46811071,24.61612515,24.76413959,24.96389892,25.16365824,25.36462094,25.56438026,25.76534296,25.96510229,26.16486161,26.36582431,26.56558363,26.76654633,26.89651023,27.02647413,27.1576414,27.28760529,27.41877256,27.54873646,27.67870036,27.80986763,27.93983153,28.0709988,28.28158845,27.73164862,27.46931408,27.22984356,27.24669073,27.20577617,27.1022864
Butts,73.07486631,73.96256684,74.85026738,75.73796791,76.62566845,77.51336898,78.40106952,79.28877005,80.17647059,81.06417112,81.95721925,84.19786096,86.44385027,88.68449198,90.93048128,93.17647059,95.4171123,97.6631016,99.90374332,102.1497326,104.3957219,106.6524064,108.9144385,111.171123,113.4331551,115.6898396,117.9518717,120.2085561,122.4705882,124.7272727,126.9893048,126.0695187,125.197861,124.0802139,124.6898396,125.6096257,126.7914439,128.657754
Calhoun,20.41785714,20.16428571,19.91428571,19.66071429,19.41071429,19.16071429,18.90714286,18.65714286,18.40357143,18.15357143,17.90357143,18.36785714,18.83571429,19.30357143,19.76785714,20.23571429,20.70357143,21.16785714,21.63571429,22.10357143,22.57142857,22.70357143,22.83571429,22.97142857,23.10357143,23.23928571,23.37142857,23.50357143,23.63928571,23.77142857,23.90714286,23.66071429,23.45,23.56785714,23.27142857,23.4,22.83214286,23.05357143
Camden,21.22380952,23.88888889,26.55555556,29.22063492,31.88730159,34.55396825,37.21904762,39.88571429,42.55079365,45.21746032,47.88412698,50.02539683,52.16825397,54.31111111,56.45238095,58.5952381,60.73809524,62.87936508,65.02222222,67.16507937,69.30793651,70.41746032,71.52857143,72.63809524,73.74920635,74.86031746,75.96984127,77.08095238,78.19047619,79.3015873,80.41269841,79.85396825,81.51111111,81.60793651,82.42222222,83.27301587,83.2,84.1968254
Candler,30.43724696,30.52631579,30.6194332,30.70850202,30.80161943,30.89473684,30.98380567,31.07692308,31.1659919,31.25910931,31.35222672,32.09311741,32.8340081,33.57489879,34.31983806,35.06072874,35.80161943,36.5465587,37.28744939,38.02834008,38.77327935,39.3562753,39.94331984,40.52631579,41.11336032,41.69635628,42.28340081,42.86639676,43.4534413,44.03643725,44.62348178,45.37651822,44.97975709,44.41295547,44.06882591,44.1417004,44.1902834,43.71255061
Carroll,112.9178357,115.9378758,118.9599198,121.9799599,125.002004,128.0240481,131.0440882,134.0661323,137.0861723,140.1082164,143.1302605,146.3046092,149.4809619,152.6553106,155.8316633,159.008016,162.1823647,165.3587174,168.5330661,171.7094188,174.8857715,179.5731463,184.2625251,188.9519038,193.6412826,198.3306613,203.0200401,207.7094188,212.3987976,217.0881764,221.7775551,221.9599198,223.3507014,225.0501002,227.6472946,229.4408818,233.0480962,236.0961924
Catoosa,228.3395062,231.7160494,235.0925926,238.4691358,241.8518519,245.2283951,248.6049383,251.9876543,255.3641975,258.7407407,262.1234568,268.7962963,275.4753086,282.154321,288.8333333,295.5123457,302.1851852,308.8641975,315.5432099,322.2222222,328.9012346,335.5617284,342.2283951,348.8888889,355.5555556,362.2160494,368.882716,375.5432099,382.2098765,388.8703704,395.537037,399.7530864,400.4444444,402.617284,404.2469136,406.3024691,409.0555556,410.8024691
Charlton,9.402048656,9.549295775,9.696542894,9.843790013,9.992317542,10.13956466,10.28681178,10.43533931,10.58258643,10.72983355,10.87836108,11.10627401,11.33546735,11.56338028,11.79257362,12.02176697,12.2496799,12.47887324,12.70678617,12.93597951,13.16517286,13.49423816,13.82330346,14.15236876,14.48143406,14.81049936,15.13956466,15.46862996,15.79769526,16.12676056,16.45710627,17.2368758,17.10883483,16.80153649,16.69398207,16.88860435,16.32650448,16.28040973
Chatham,459.6045455,462.9454545,466.2886364,469.6318182,472.975,476.3181818,479.6613636,483.0045455,486.3477273,489.6909091,493.0340909,496.4681818,499.9022727,503.3363636,506.7727273,510.2068182,513.6409091,517.0772727,520.5113636,523.9454545,527.3818182,535.0613636,542.7431818,550.425,558.1068182,565.7886364,573.4681818,581.15,588.8318182,596.5136364,604.1954545,617.8863636,628.4159091,631.7340909,642.8590909,651.8613636,657.7045455,660.2295455
Chattahoochee,87.27710843,85.34939759,83.42168675,81.4939759,79.56626506,77.64257028,75.71485944,73.78714859,71.85943775,69.93172691,68.00803213,67.18072289,66.35742972,65.53413655,64.71084337,63.8875502,63.06024096,62.23694779,61.41365462,60.59036145,59.76706827,58.2811245,56.79919679,55.31325301,53.8313253,52.34939759,50.86345382,49.3815261,47.89558233,46.41365462,44.93172691,45.23293173,49.30120482,49.18072289,47.04417671,44.47791165,40.562249,41.53815261
